Sentence,Class
የሙስና ወንጀል በመፈጸሙ በፍትህ አካል እየተፈለገ መሆኑን እያወቀ   ወይም ተፈላጊ መሆኑን የሚገልጽ ማስታወቂያ መውጣቱን እያወቀ ወይም በዋስ ከተለቀቀ በኋላ ከፍትህ ያመለጠ እንደሆነ,ant-corruption law
የኢትዮጵያ ፌደራላዊ ዲሞክራሲያዊ ሪፐብሊክ የወንጀል ህግ አንቀጽ ላይ የተደነገገው ቢኖርም በዚህ ክፍል የተደነገገው ወንጀል የተፈፀመው የህግ ሰውነት በተሰጠው ድርጅት ቀጥተኛ ወይም ቀጥተኛ ያልሆነ ተሣትፎ ከሆነ   ድርጊቱ የተፈፀመው ከተደራጀ የወንጀል ቡድን ጋር በመተባበር ከሆነ ወይም በሰዎች ለመነገድ ወይም በህገ ወጥ መንገድ ለማዘዋወር በተቋቋመ ድርጅት ወይም ማኀበር ከሆነ,Human trafficking law
ከዚህ በላይ በንዑስ አንቀጽ   በተመለከተው መሰረት ለመወሰን ተጣርቶ እነዲቀርብለት ፍ/ቤቱ በለሙያ ሊመድብ ይችላል,ant-corruption law
በመሆኑም አንድ ህገ ወጥ አዘዋዋሪ ወይም ድንበር አሻጋሪ ቁጥራቸው ሁለትና ከዚያ በላይ በሆኑ ግለሰቦች  ተጎጅዎች   ላይ ድርጊቱን ቢፈጽም በስፋትና በብዛት የሚለው አገላለጽ ግልጽ አለመሆኑ እንደተጠበቀ ሆኖ በዚህ ድንጋጌ መሰረት ክስ የሚቀርብ በመሆኑ ለዚህ ድንጋጌ አፈጻጸም የወንጀል ህግ አንቀጽ 60  ሐ   ተፋጻሚነት አይኖረውም,Human trafficking law
የአዋጁ አንቀጽ 4 ንዑስ አንቀጽ   ተሰርዞ በሚከተለው አዲስ ንኡስ አንቀጽ   ተተክቷል,ant-corruption law
ሊከፈል የማይገባ መሆኑን ወይም በህግ ከተወሰነው ታሪፍ በላይ መሆኑን እያወቀ ቀረጥ  ግብር   ልዩልዩ ገቢ ወይም ልዩልዩ የገቢ ጥቅም   ምንዳ   ደመወዝ   ካሳ ወይም ሌላ ወጪ የሰበሰበ ወይም እንዲሰበሰብ ያዘዘ እንደሆነ,ant-corruption law
በሀገራችን ያለው የህገ ወጥ ሰዎች ዝውውር ገጽታ በተመለከተ ከላይ በተጠቀሱት አራት መስመሮች በየቀኑ በርካታ ኢትዮጵያዊያን በህገ ወጥ መንገድ በደላሎች አማካኝነት የህልም እንጀራ ለማግኘት ድንበር አቋርጠው ይሄዳሉ,Human trafficking law
ገንዘብ እንዲከፍል ፍ/ቤቱ ካዘዘው በኋላ ሳይፈጽምየቀረ እንደሆነ ጠባቂው ንብረቱ ተሽጦ ከሽያጩ ላይ ያገኘው ንብረት በቸልተኝነት ወይም ሆን ብሎ ያደረሰው ጉድለት እንዲተካ ወይም ጉዳቱ ለመጠገን የሚያስፈልገውን ገንዘብ እንዲከፍል በማዘዝ ቀሪ ገንዘቡ እንዲመለስለት ለማድረግ ይችላል,ant-corruption law
ይሁን እንጅ አዋጁ ህገ ወጥ የሰዎች ዝውውርንና ስደተኞችን በህገ ወጥ መንገድ ድንበር ማሻገር ወንጀሎችን በአንድ አዋጅ ቀላቅሎ ማውጣቱና በአንድ አንድ ድንጋጌዎች ላይም ክፍተቶች ያሉበት በመሆኑ በአፈጻጸም ረገድ የራሳቸውን አሉታዊ አስተዋጽኦ ሊያበረክቱ ይችላሉ,Human trafficking law
ሊከፈል የማይገባ መሆኑን ወይም በህግ ከተወሰነው ታሪፍ በላይ መሆኑን እያወቀ ቀረጥ  ግብር   ልዩልዩ ገቢ ወይም ልዩልዩ የገቢ ጥቅም   ምንዳ   ደመወዝ   ካሳ ወይም ሌላ ወጪ የሰበሰበ ወይም እንዲሰበሰብ ያዘዘ እንደሆነ,ant-corruption law
በሌላ በኩል ደግሞ የህገ ወጥ ሰዎች ዝውውር መዳረሻ ሀገራት በኢኮኖሚ የበለጸጉ በተለይ በመካከለኛው ምስራቅ ያለው የነዳጅ ሀብት ርካሽ ጉልበት የሚፈልጉ ስራዎች በሀገሬው ሰዎች ሊሰሩ የማይችሉ በባህሪያቸው ቆሻሻ ዝቅ የሚያደርግ እና ለጤና አደገኛ በመሆናቸው እነዚህ ስራዎች ከታዳጊ ሀገራት ለሚሄዱ ሰዎች ክፍት በመሆናቸው ከፍተኛ የሆነ የርካሽ ጉልበት ፍላጎት አለ,Human trafficking law
እያንዳንዱ የመንግስት መስሪያቤት   የመንግስት የልማት ድርጅ ወይም ህዝባዊ ድርጅት ሰራተኛውን ከቂም በቀል እርምጃ ለመከላከል የሚያስችለው ስርአት መዘርጋት ይኖርበታል,ant-corruption law
የመንግስት ሰራተኛ በብርበራ   በመያዝ   በመውረስ ስርአት   በሀራጅ ሺያጭ   በህግ ውርስ ወይም ፍርዱ በንብረቱ ላይ እንዲፈጸም በመወሰኑ ወይም ይህን የመሰለ ማናቸውም ስራ በሚያከናውንበት ወይም በሚያስፈጽምበት ጊዜ,ant-corruption law
መዳረሻውን በዋናነት ደቡብ አፍሪካ በማድረግ የሚደረግ ጉዞ ነው,Human trafficking law
ይህም ማለት ሌሎች የመመልመያ ዘዴወችን ለምሳሌ ማታለል   የተስፋ ቃል መስጠት የመሳሰሉትን አያካትትም,Human trafficking law
ነገር ግን በማስረዳት ሸክም ወደ ተከሳሽ በማዞር ሂደት ውስጥ አቃቢ ህግ እስከ ምን ደረጃ ጉዳዩን የማስረዳት ሀላፊነት አለበት የሚል ጥያቄ ይነሳል,Human trafficking law
አንድ ሀገር ህገ-ወጥ የሰዎች ዝውውርንና ስደተኞችን በህገ-ወጥ መንገድ ድንበር ማሻገርን በተመለከተ የምታወጣው የፖሊሲ ማዕቀፍ ዓላማ ወንጀሎችን  ለመቆጣጠር  ያላቸውን  ቁርጠኝነት  የሚያረጋግጡበትም  ነው,Human trafficking law
ይህም ሁለቱ ወንጀሎች በአንድ አዋጅ ተጠቃለው እንዲወጡ በመደረጉ የፈጠረው ነው,Human trafficking law
የኑሮ ደረጃው አሁን ባለበት ወይም አስቀድሞ በነበረበት የመንግስት ወይም የህዝባዊ ድርጅት ስራ ወይም በሌላ መንገድ ከሚያገኘው ወይም ሲያገኘው ከነበረው ህጋዊ ገቢ የበለጠ እንደሆነ,ant-corruption law
በሀገሩ ወይም በአካባቢው ባህል ወይም ልማድ መሰረት እንደተራ ወዳጅነት ምልክት የሚሰጥ ዋጋ ያለው ስጦታ ለመስጠት ለስጋ ወይም ለጋብቻ የቅርብ ዘመድ ወይም ለቅርብ ወዳጅ ስጦታ መስጠት በዚህ አንቀጽ ለተመለከተው ወንጀል ማቋቋሚያ አይሆንም,ant-corruption law
በዚህ አንቀጽ ውስጥ የተካትተው ዋናው ጉዳይ የወንጀል መከላከል ፅንሰ ሀሳብ ነው,Human trafficking law
የኮሚሽኑ አካላትና የክልል የሥነ-ምግባርና የጸረ-ሙስና ተቋሞች በየአካባቢያቸው ስላለው የሙስና ወንጀል ሁኔታና ስለተከናወነ የጸረ-ሙስና እንቅስቃሴ በሚመለከት ስታቲስቲካዊ መረጃ በየጊዜው ለጋራ ጉባኤው ጽህፈት ቤት ያስተላልፋሉ,ant-corruption law
አንድ ጽሁፍ   መዝገብ  ወይም ማንኛውንም ሰነድ የመንግስት ወይም የህዝባዊ ድርጅት በማስመሰል ያዘጋጀ ወይም የፈጠረ እንደሆነ,ant-corruption law
ማንኛውም የመንግስት ወይም የህዝባዊ ድርጅት ሰራተኛ ወይም ሌላ ማንኛውም ሰው በዚህ አንቀጽ ንኡስ አንቀጽ 2 የተመለከተውን የሙስና ባህሪ የሚያሟላ ወንጀል በተፈጸመ ጊዜ ለወንጀሉ የተደነገጉት የቅጣት ድንጋጌዎች ይፈጸሙበታል,ant-corruption law
ተጠርጣሪው በሚገባው ስምምነት መሰረት ማስረጃውን ካላቀረበ ወይም ተገቢውን ምስክርነት ካልሰጠ ስምምነቱን እንዳላከበረ ተቆጥሮ ያለመከሰስ መብቱ ይነሳል,ant-corruption law
የኢትዮጵያ ፌደራላዊ ዲሞክራሲያዊ ሪፐብሊክ የወንጀል ህግ አንቀጽ ላይ የተደነገገው ቢኖርም በዚህ ክፍል የተደነገገው ወንጀል የተፈፀመው የህግ ሰውነት በተሰጠው ድርጅት ቀጥተኛ ወይም ቀጥተኛ ያልሆነ ተሣትፎ ከሆነ   ድርጊቱ የተፈፀመው ከተደራጀ የወንጀል ቡድን ጋር በመተባበር ከሆነ ወይም በሰዎች ለመነገድ ወይም በህገ ወጥ መንገድ ለማዘዋወር በተቋቋመ ድርጅት ወይም ማኀበር ከሆነ,Human trafficking law
ስልጣኑ ወይም ሀላፊነቱ የማይፈቅድለትን ጉዳይ   በተለይም ስልጣን ወይም ሀላፊነት ሳይኖረው ወይም ከስራው ከታገደ   ከተዘዋወረ   ከተሻረ ወይም ስልጣኑን ወይም ሀላፊነቱን ከተወ በኋላ የሰራበት እንደሆነ፤ እንደነገሩ ሁኔታ ከአንድ አመት በማያንስ ቀላል እስራትና ከሶስት ሺህ ብር በማይበልጥ መቀጮ ወይም ከአስር አመት በማይበልጥ ጽኑ እስራትና ከአስር ሺህ ብር በማይበልጥ መቀጮ ይቀጣል,ant-corruption law
ቀደም ሲል በጉዳዩ ላይ ወጥተው በነበሩት የወንጀል ህጉ ድንጋጌዎች የተለያዩ የብዝበዛ አይነቶች በተለያዩ አንቀፆች እንዲቀመጡ መደረጉ የብዝበዛው አይነት ውሱን እንዲሆኑ መደረጉ  ባርነት  የግዳጅ ስራ  ወሲብ)  ወንጀሎቹም በነፃነት እና በሞራል የሚፈፀሙ ተብለው በተለያየ ክፍል እንዲቀመጡ መደረጉ  የተለያየ መጠን ያለው ቅጣትና ቅጣቱም ተመጣጣኝና አስተማሪ ባለመሆኑ የተወሰነ የህብረተሰብ ክፍል ብቻ የሚሸፍኑ  ህጻናትና ሴቶች በመሆኑ በፕሮተኮሉ እይታም ሆነ በአፈፃፀም ረገድ ክፍተት ነበረበት,Human trafficking law
ሀገራችን በእነዚህ የህግ ማዕቀፎች ህገ ወጥ የሰዎች ዝውውርንና ስደተኞችን በህገ ወጥ ድንበር የማሻገር ወንጀል ለመከላከል ጥረት ስታደርግ ቆይታለች,Human trafficking law
በሌላ በኩል የአዋጁ አንቀጽ 3 እና 5 በከባድ የጽኑ እስራትና በከፍተኛ የገንዘብ መቀጮ የሚያስቀጡ መሆኑ ተደንግጓል,Human trafficking law
የዚህ አንቀጽ ንኡስ አንቀጽ 1 ቢኖርም ልዩ መብት ያላቸው ሰዎች ሊከሰሱ የሚችሉት ያለመከሰስ መብታቸው በህግ አግባብ ከተነሳ በኋላ ነው,Human trafficking law
